Property1,Property2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
2.471,no,2.44,0.992592593,2.421925927,2.63,0.89,0.118518519,0.105481482,1.54,1.707792208,1.55,8.375,1.208
0.329,yes,2.44,0.992592593,2.421925927,2.63,1.78,0.407407407,0.725185184,1.96,1.341836735,0.66,2.436363636,0.949
0.141,yes,2.44,0.992592593,2.421925927,2.63,1.43,0.392592593,0.561407408,1.898,1.385669125,1.01,2.528301887,0.98
0.576,yes,2.44,0.992592593,2.421925927,2.63,2.14,0.525925926,1.125481482,2.073,1.268692716,0.3,1.887323944,0.897
0.473,yes,2.44,0.992592593,2.421925927,2.63,1.24,0.462962963,0.574074074,2.02,1.301980198,1.2,2.144,0.921
0.158,yes,2.44,0.992592593,2.421925927,2.63,1.89,0.392592593,0.742000001,1.903,1.382028376,0.55,2.528301887,0.977
0.443,yes,2.44,0.992592593,2.421925927,2.63,1.28,0.481481481,0.616296296,2.006,1.3110668,1.16,2.061538462,0.927
0.494,yes,2.44,0.992592593,2.421925927,2.63,1.84,0.503703704,0.926814815,2.03,1.295566502,0.6,1.970588235,0.916
0.743,yes,2.44,0.992592593,2.421925927,2.63,1.11,0.574074074,0.637222222,2.192,1.199817518,1.33,1.729032258,0.848
0.391,yes,2.44,0.992592593,2.421925927,2.63,1.24,0.459259259,0.569481481,1.984,1.325604839,1.2,2.161290323,0.937
0.315,yes,2.44,0.992592593,2.421925927,2.63,1.54,0.296296296,0.456296296,1.79,1.469273743,0.9,3.35,1.039
0.543,yes,2.44,0.992592593,2.421925927,2.63,1.48,0.511111111,0.756444444,2.055,1.279805353,0.96,1.942028986,0.905
0.342,yes,2.44,0.992592593,2.421925927,2.63,1.9,0.448148148,0.851481481,1.965,1.338422392,0.54,2.214876033,0.946
0.811,yes,2.44,0.992592593,2.421925927,2.63,2.06,0.659259259,1.358074074,2.262,1.162687887,0.38,1.505617978,0.822
0.256,yes,2.44,0.992592593,2.421925927,2.63,1.81,0.42962963,0.77762963,1.934,1.359875905,0.63,2.310344828,0.962
1.923,no,1.75,0.97037037,1.698148148,2.567,0.89,0.118518519,0.105481482,1.54,1.666883117,0.86,8.1875,1.179
0.281,yes,1.75,0.97037037,1.698148148,2.567,1.43,0.392592593,0.561407408,1.898,1.352476291,0.32,2.471698113,0.956
0.788,no,1.75,0.97037037,1.698148148,2.567,1.11,0.574074074,0.637222222,2.192,1.171076642,0.64,1.690322581,0.828
0.442,no,1.75,0.97037037,1.698148148,2.567,0.89,0.37037037,0.329629629,1.961,1.309026007,0.86,2.62,0.926
0.62,yes,1.75,0.97037037,1.698148148,2.567,1.48,0.511111111,0.756444444,2.055,1.249148418,0.27,1.898550725,0.883
0.087,no,1.75,0.97037037,1.698148148,2.567,0.86,0.274074074,0.235703704,1.794,1.430880713,0.89,3.540540541,1.012
0.719,no,1.75,0.97037037,1.698148148,2.567,1.34,0.718518519,0.962814815,2.127,1.206864128,0.41,1.350515464,0.853
0.45,yes,1.75,0.97037037,1.698148148,2.567,1.9,0.448148148,0.851481481,1.965,1.306361323,0.15,2.165289256,0.924
0.043,yes,2.32,0.992592593,2.302814816,2.664,1.83,0.396296296,0.725222222,1.876,1.420042644,0.49,2.504672897,1.004
0.479,yes,2.32,0.992592593,2.302814816,2.664,1.78,0.455555556,0.81088889,1.98,1.345454545,0.54,2.178861789,0.951
0.613,yes,2.32,0.992592593,2.302814816,2.664,1.61,0.477777778,0.769222223,2.015,1.322084367,0.71,2.07751938,0.935
0.503,yes,2.32,0.992592593,2.302814816,2.664,1.63,0.459259259,0.748592592,1.986,1.341389728,0.69,2.161290323,0.948
1.133,yes,2.32,0.992592593,2.302814816,2.664,2.17,0.637777778,1.383977778,2.227,1.19622811,0.15,1.556329849,0.846
0.721,yes,2.32,0.992592593,2.302814816,2.664,1.9,0.496296296,0.942962962,2.047,1.301416707,0.42,2,0.92
1.177,yes,2.32,0.992592593,2.302814816,2.664,2.19,0.651851852,1.427555556,2.256,1.180851064,0.13,1.522727273,0.835
0.554,yes,2.32,0.992592593,2.302814816,2.664,1.81,0.474074074,0.858074074,1.999,1.332666333,0.51,2.09375,0.942
1.123,yes,2.32,0.992592593,2.302814816,2.664,2.34,0.642962963,1.504533333,2.221,1.199459703,0.02,1.543778802,0.848
0.609,no,1.56,0.797777778,1.244533334,2.355,1.43,0.392592593,0.561407408,1.898,1.240779768,0.13,2.032075472,0.877
0.617,no,1.56,0.797777778,1.244533334,2.355,1.89,0.392592593,0.742000001,1.903,1.237519706,0.33,2.032075472,0.875
0.699,no,1.56,0.797777778,1.244533334,2.355,0.89,0.37037037,0.329629629,1.961,1.200917899,0.67,2.154,0.849
0.856,no,1.56,0.797777778,1.244533334,2.355,1.34,0.718518519,0.962814815,2.127,1.10719323,0.22,1.110309278,0.783
0.704,no,1.56,0.797777778,1.244533334,2.355,1.9,0.448148148,0.851481481,1.965,1.198473282,0.34,1.780165289,0.847
2.387,no,2.65,1.392592593,3.690370371,3.336,0.48,0.348148148,0.167111111,1.907,1.74934452,2.17,4,1.237
1.041,yes,2.65,1.392592593,3.690370371,3.336,0.78,0.703703704,0.548888889,2.07,1.611594203,1.87,1.978947368,1.139
1.697,no,2.65,1.392592593,3.690370371,3.336,1.84,0.474074074,0.872296296,1.978,1.686552073,0.81,2.9375,1.192
2.823,no,2.65,1.392592593,3.690370371,3.336,1.81,0.4,0.724,1.87,1.783957219,0.84,3.481481481,1.261
0.576,no,1.54,0.740518519,1.140398519,2.342,0.89,0.118518519,0.105481482,1.54,1.520779221,0.65,6.248125,1.075
0.623,no,1.54,0.740518519,1.140398519,2.342,1.43,0.392592593,0.561407408,1.898,1.233930453,0.11,1.886226415,0.872
0.786,no,1.54,0.740518519,1.140398519,2.342,1.84,0.503703704,0.926814815,2.03,1.153694581,0.3,1.470147059,0.816
0.711,no,1.54,0.740518519,1.140398519,2.342,0.89,0.37037037,0.329629629,1.961,1.194288628,0.65,1.9994,0.844
0.414,no,1.54,0.740518519,1.140398519,2.342,1.54,0.296296296,0.456296296,1.79,1.308379888,0,2.49925,0.925
0.862,no,1.54,0.740518519,1.140398519,2.342,1.34,0.718518519,0.962814815,2.127,1.101081335,0.2,1.030618557,0.779
0.676,no,1.54,0.740518519,1.140398519,2.342,1.81,0.42962963,0.77762963,1.934,1.210961737,0.27,1.72362069,0.856
0.487,yes,2.22,0.888888889,1.973333334,2.514,1.83,0.396296296,0.725222222,1.876,1.340085288,0.39,2.242990654,0.947
1.201,no,2.22,0.888888889,1.973333334,2.514,1.4,0.2,0.28,1.627,1.545175169,0.82,4.444444444,1.092
0.767,yes,2.22,0.888888889,1.973333334,2.514,1.56,0.451851852,0.704888889,1.956,1.285276074,0.66,1.967213115,0.909
0.836,yes,2.22,0.888888889,1.973333334,2.514,1.78,0.455555556,0.81088889,1.98,1.26969697,0.44,1.951219512,0.898
0.925,yes,2.22,0.888888889,1.973333334,2.514,1.61,0.477777778,0.769222223,2.015,1.24764268,0.61,1.860465116,0.882
0.903,yes,2.22,0.888888889,1.973333334,2.514,1.53,0.444444444,0.679999999,2.006,1.253240279,0.69,2,0.886
1.001,yes,2.22,0.888888889,1.973333334,2.514,1.16,0.492592593,0.571407408,2.049,1.226939971,1.06,1.804511278,0.867
1.107,yes,2.22,0.888888889,1.973333334,2.514,2.08,0.551851852,1.147851852,2.105,1.194299287,0.14,1.610738255,0.844
0.997,yes,2.22,0.888888889,1.973333334,2.514,1.9,0.496296296,0.942962962,2.047,1.22813874,0.32,1.791044776,0.868
0.886,yes,2.22,0.888888889,1.973333334,2.514,1.81,0.474074074,0.858074074,1.999,1.257628814,0.41,1.875,0.889
0.524,yes,2.2,0.873333333,1.921333333,2.501,1.83,0.396296296,0.725222222,1.876,1.33315565,0.37,2.203738318,0.942
1.106,no,2.2,0.873333333,1.921333333,2.501,1.4,0.2,0.28,1.627,1.537185003,0.8,4.366666667,1.087
0.86,yes,2.2,0.873333333,1.921333333,2.501,1.78,0.455555556,0.81088889,1.98,1.263131313,0.42,1.917073171,0.893
0.947,yes,2.2,0.873333333,1.921333333,2.501,1.61,0.477777778,0.769222223,2.015,1.241191067,0.59,1.827906977,0.877
0.949,yes,2.2,0.873333333,1.921333333,2.501,1.89,0.477777778,0.903,2.016,1.240575397,0.31,1.827906977,0.877
0.926,yes,2.2,0.873333333,1.921333333,2.501,1.53,0.444444444,0.679999999,2.006,1.246759721,0.67,1.965,0.881
1.02,yes,2.2,0.873333333,1.921333333,2.501,1.16,0.492592593,0.571407408,2.049,1.220595412,1.04,1.772932331,0.863
1.016,yes,2.2,0.873333333,1.921333333,2.501,1.9,0.496296296,0.942962962,2.047,1.221787982,0.3,1.759701493,0.864
0.909,yes,2.2,0.873333333,1.921333333,2.501,1.81,0.474074074,0.858074074,1.999,1.251125563,0.39,1.8421875,0.884
0.256,yes,2.24,0.911111111,2.040888889,2.587,1.83,0.396296296,0.725222222,1.876,1.378997868,0.41,2.299065421,0.975
1.801,no,2.24,0.911111111,2.040888889,2.587,1.4,0.2,0.28,1.627,1.590043024,0.84,4.555555556,1.124
0.68,yes,2.24,0.911111111,2.040888889,2.587,1.78,0.455555556,0.81088889,1.98,1.306565657,0.46,2,0.924
0.789,yes,2.24,0.911111111,2.040888889,2.587,1.61,0.477777778,0.769222223,2.015,1.283870968,0.63,1.906976744,0.908
0.792,yes,2.24,0.911111111,2.040888889,2.587,1.89,0.477777778,0.903,2.016,1.283234127,0.35,1.906976744,0.907
0.762,yes,2.24,0.911111111,2.040888889,2.587,1.53,0.444444444,0.679999999,2.006,1.289631107,0.71,2.05,0.912
0.882,yes,2.24,0.911111111,2.040888889,2.587,1.16,0.492592593,0.571407408,2.049,1.262567106,1.08,1.84962406,0.893
1.01,yes,2.24,0.911111111,2.040888889,2.587,2.08,0.551851852,1.147851852,2.105,1.228978622,0.16,1.651006711,0.869
0.119,no,1.61,0.698518519,1.124614816,2.272,1.4,0.2,0.28,1.627,1.396435157,0.21,3.492592593,0.987
1.226,no,1.61,0.698518519,1.124614816,2.272,1.89,0.477777778,0.903,2.016,1.126984127,0.28,1.462015504,0.797
0.567,no,1.61,0.794814815,1.279651852,2.397,1.89,0.392592593,0.742000001,1.903,1.259590121,0.28,2.024528302,0.891
0.315,no,1.61,0.794814815,1.279651852,2.397,1.54,0.296296296,0.456296296,1.79,1.339106145,0.07,2.6825,0.947
0.326,no,1.61,0.794814815,1.279651852,2.397,0.86,0.274074074,0.235703704,1.794,1.336120401,0.75,2.9,0.945
1.262,no,1.61,0.698518519,1.124614816,2.272,1.9,0.496296296,0.942962962,2.047,1.109916952,0.29,1.407462687,0.785
0.665,no,1.61,0.794814815,1.279651852,2.397,1.9,0.448148148,0.851481481,1.965,1.219847328,0.29,1.773553719,0.863
1.249,no,1.63,0.648148148,1.056481481,2.243,1.61,0.477777778,0.769222223,2.015,1.113151365,0.02,1.356589147,0.787
1.375,no,1.63,0.648148148,1.056481481,2.243,1.66,0.592592593,0.983703704,2.158,1.039388323,0.03,1.09375,0.735
0.287,yes,2.24,0.903703704,2.024296297,2.578,1.83,0.396296296,0.725222222,1.876,1.374200426,0.41,2.280373832,0.971
1.72,no,2.24,0.903703704,2.024296297,2.578,1.4,0.2,0.28,1.627,1.584511371,0.84,4.518518519,1.12
0.619,yes,2.24,0.903703704,2.024296297,2.578,1.56,0.451851852,0.704888889,1.956,1.31799591,0.68,2,0.932
0.701,yes,2.24,0.903703704,2.024296297,2.578,1.78,0.455555556,0.81088889,1.98,1.302020202,0.46,1.983739837,0.92
0.807,yes,2.24,0.903703704,2.024296297,2.578,1.61,0.477777778,0.769222223,2.015,1.279404467,0.63,1.891472868,0.904
