Property1,Property2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
0.683,yes,2.31,0.962962963,2.224444445,2.651,1.24,0.503703704,0.624592593,2.026,1.308489635,1.07,1.911764706,0.925
0.908,yes,2.31,0.962962963,2.224444445,2.651,2.08,0.551851852,1.147851852,2.105,1.259382423,0.23,1.744966443,0.89
0.749,yes,2.31,0.962962963,2.224444445,2.651,1.9,0.496296296,0.942962962,2.047,1.29506595,0.41,1.940298507,0.916
0.588,yes,2.31,0.962962963,2.224444445,2.651,1.81,0.474074074,0.858074074,1.999,1.326163082,0.5,2.03125,0.937
1.138,yes,2.31,0.962962963,2.224444445,2.651,2.34,0.642962963,1.504533333,2.221,1.193606484,0.03,1.497695853,0.844
1.398,no,2.62,1.274074074,3.338074074,3.182,0.48,0.348148148,0.167111111,1.907,1.668589407,2.14,3.659574468,1.18
0.51,yes,2.62,1.274074074,3.338074074,3.182,0.78,0.703703704,0.548888889,2.07,1.537198068,1.84,1.810526316,1.087
0.943,yes,2.62,1.274074074,3.338074074,3.182,1.84,0.474074074,0.872296296,1.978,1.608695652,0.78,2.6875,1.137
8.59,no,2.62,1.274074074,3.338074074,3.182,0.4,0.113407407,0.045362963,1.499,2.122748499,2.22,11.23448726,1.501
0.175,yes,2.62,1.274074074,3.338074074,3.182,1.94,0.577777778,1.120888889,2.174,1.463661454,0.68,2.205128205,1.035
3.974,no,2.62,1.274074074,3.338074074,3.182,1.25,0.281481481,0.351851851,1.684,1.889548694,1.37,4.526315789,1.336
0.894,yes,2.62,1.274074074,3.338074074,3.182,1.94,0.474074074,0.919703704,1.987,1.60140916,0.68,2.6875,1.132
0.263,yes,2.62,1.274074074,3.338074074,3.182,2.06,0.562962963,1.159703704,2.142,1.485527544,0.56,2.263157895,1.05
1.689,no,2.62,1.274074074,3.338074074,3.182,1.81,0.4,0.724,1.87,1.701604278,0.81,3.185185185,1.203
0.206,yes,2.27,0.918518519,2.085037038,2.601,1.83,0.396296296,0.725222222,1.876,1.386460554,0.44,2.317757009,0.98
0.56,yes,2.27,0.918518519,2.085037038,2.601,1.56,0.451851852,0.704888889,1.956,1.329754601,0.71,2.032786885,0.94
0.647,yes,2.27,0.918518519,2.085037038,2.601,1.78,0.455555556,0.81088889,1.98,1.313636364,0.49,2.016260163,0.929
0.76,yes,2.27,0.918518519,2.085037038,2.601,1.61,0.477777778,0.769222223,2.015,1.290818859,0.66,1.92248062,0.913
1.092,yes,2.27,0.918518519,2.085037038,2.601,1.66,0.592592593,0.983703704,2.158,1.205282669,0.61,1.55,0.852
0.763,yes,2.27,0.918518519,2.085037038,2.601,1.89,0.477777778,0.903,2.016,1.290178571,0.38,1.92248062,0.912
0.732,yes,2.27,0.918518519,2.085037038,2.601,1.53,0.444444444,0.679999999,2.006,1.296610169,0.74,2.066666667,0.917
0.856,yes,2.27,0.918518519,2.085037038,2.601,1.16,0.492592593,0.571407408,2.049,1.269399707,1.11,1.864661654,0.897
0.989,yes,2.27,0.918518519,2.085037038,2.601,2.08,0.551851852,1.147851852,2.105,1.235629454,0.19,1.66442953,0.874
0.851,yes,2.27,0.918518519,2.085037038,2.601,1.9,0.496296296,0.942962962,2.047,1.270639961,0.37,1.850746269,0.898
0.71,yes,2.27,0.918518519,2.085037038,2.601,1.81,0.474074074,0.858074074,1.999,1.301150575,0.46,1.9375,0.92
1.257,no,2.27,0.918518519,2.085037038,2.601,2.22,0.666666667,1.480000001,2.275,1.143296703,0.05,1.377777778,0.808
0.656,yes,2.49,1.066666667,2.656000001,2.781,2.14,0.62962963,1.347407408,2.23,1.247085202,0.35,1.694117647,0.882
4.237,no,2.49,1.066666667,2.656000001,2.781,0.89,0.118518519,0.105481482,1.54,1.805844156,1.6,9,1.277
0.46,yes,2.49,1.066666667,2.656000001,2.781,1.56,0.392592593,0.612444445,1.87,1.487165775,0.93,2.716981132,1.052
0.309,yes,2.49,1.066666667,2.656000001,2.781,1.43,0.392592593,0.561407408,1.898,1.465226554,1.06,2.716981132,1.036
0.346,yes,2.49,1.066666667,2.656000001,2.781,2.14,0.525925926,1.125481482,2.073,1.341534009,0.35,2.028169014,0.949
0.191,yes,2.49,1.066666667,2.656000001,2.781,1.24,0.462962963,0.574074074,2.02,1.376732673,1.25,2.304,0.973
0.283,yes,2.49,1.066666667,2.656000001,2.781,1.89,0.392592593,0.742000001,1.903,1.461376774,0.6,2.716981132,1.033
0.108,yes,2.49,1.066666667,2.656000001,2.781,1.28,0.481481481,0.616296296,2.006,1.386340977,1.21,2.215384615,0.98
0.223,yes,2.49,1.066666667,2.656000001,2.781,1.84,0.503703704,0.926814815,2.03,1.369950739,0.65,2.117647059,0.969
0.597,yes,2.49,1.066666667,2.656000001,2.781,1.11,0.574074074,0.637222222,2.192,1.26870438,1.38,1.858064516,0.897
0.658,yes,2.49,1.066666667,2.656000001,2.781,2.16,0.637037037,1.376,2.232,1.245967742,0.33,1.674418605,0.881
0.067,yes,2.49,1.066666667,2.656000001,2.781,1.24,0.459259259,0.569481481,1.984,1.40171371,1.25,2.322580645,0.991
0.994,no,2.49,1.066666667,2.656000001,2.781,1.54,0.296296296,0.456296296,1.79,1.553631285,0.95,3.6,1.099
0.297,yes,2.49,1.066666667,2.656000001,2.781,1.48,0.511111111,0.756444444,2.055,1.353284672,1.01,2.086956522,0.957
0.474,no,2.49,1.066666667,2.656000001,2.781,1.34,0.718518519,0.962814815,2.127,1.307475317,1.15,1.484536082,0.924
0.006,yes,2.49,1.066666667,2.656000001,2.781,1.9,0.448148148,0.851481481,1.965,1.415267176,0.59,2.380165289,1.001
0.359,yes,2.49,1.066666667,2.656000001,2.781,2.11,0.533333333,1.125333333,2.078,1.338306064,0.38,2,0.946
0.395,yes,2.24,0.899259259,2.01434074,2.545,1.83,0.396296296,0.725222222,1.876,1.356609808,0.41,2.269158879,0.959
0.699,yes,2.24,0.899259259,2.01434074,2.545,1.56,0.451851852,0.704888889,1.956,1.301124744,0.68,1.990163934,0.92
